supplement_name,medication_name,severity,description,recommendation
"Ginkgo Biloba","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Garlic","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Garlic","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Garlic","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginseng","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginseng","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Caffeine","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Caffeine","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Caffeine","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Creatine Monohydrate","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Creatine Monohydrate","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Creatine Monohydrate","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"SAMe","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"SAMe","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"SAMe","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Alpha Lipoic Acid","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ashwagandha","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Caffeine","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chondroitin","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chromium","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Coenzyme Q10 (CoQ10)","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Collagen","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Copper","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"CoQ10","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Creatine Monohydrate","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Curcumin","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Echinacea","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fiber","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginger","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginseng","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Glucosamine","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Green Tea Extract","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iodine","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iron","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"L-Theanine","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Manganese","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Melatonin","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Molybdenum","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Quercetin","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Resveratrol","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Rhodiola","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Riboflavin","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"SAMe","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Selenium","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Thiamine","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric (Curcumin)","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Valerian Root","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin B12","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin C","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Albuterol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
