supplement_name,medication_name,severity,description,recommendation,source
Peppermint Oil,Lamotrigine,low,"Low likelihood of clinically significant interaction. Peppermint Oil may affect CYP enzymes or transporters impacting Lamotrigine. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Echinacea,Lisinopril,low,Low likelihood of clinically significant interaction. Echinacea may affect CYP enzymes or transporters impacting Lisinopril. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Hawthorn,Omeprazole,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Milk Thistle (Silymarin),Quetiapine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Seamoss,Simvastatin,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zinc (Gluconate),Fluoxetine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Phosphatidylserine,Liraglutide,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Phosphatidylserine may affect CYP enzymes or transporters impacting Liraglutide.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Seamoss,Lorazepam,low,"Low likelihood of clinically significant interaction. Seamoss may affect CYP enzymes or transporters impacting Lorazepam. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
L-Theanine,Omeprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Spirulina,Esomeprazole,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Spirulina may affect CYP enzymes or transporters impacting Esomeprazole.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Tribulus,Azithromycin,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Tribulus may affect CYP enzymes or transporters impacting Azithromycin.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
