supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 859,Medication 43,moderate,Additive effect,A,Auto-generated interaction
Supplement 655,Medication 25,severe,Absorption reduction,B,Auto-generated interaction
Supplement 631,Medication 29,high,Additive effect,A,Auto-generated interaction
Supplement 590,Medication 49,high,Unknown,A,Auto-generated interaction
Supplement 565,Medication 97,high,Absorption reduction,A,Auto-generated interaction
Supplement 900,Medication 26,moderate,Additive effect,A,Auto-generated interaction
Supplement 149,Medication 129,severe,Additive effect,C,Auto-generated interaction
Supplement 708,Medication 132,high,Unknown,C,Auto-generated interaction
Supplement 117,Medication 46,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 934,Medication 127,moderate,Unknown,C,Auto-generated interaction
Supplement 518,Medication 86,low,Additive effect,A,Auto-generated interaction
Supplement 566,Medication 85,high,Additive effect,A,Auto-generated interaction
Supplement 822,Medication 92,low,Unknown,B,Auto-generated interaction
Supplement 861,Medication 58,high,Unknown,B,Auto-generated interaction
Supplement 565,Medication 15,low,Unknown,B,Auto-generated interaction
Supplement 360,Medication 108,severe,Absorption reduction,C,Auto-generated interaction
Supplement 600,Medication 74,severe,Unknown,B,Auto-generated interaction
Supplement 757,Medication 134,severe,Absorption reduction,A,Auto-generated interaction
Supplement 685,Medication 35,low,Unknown,C,Auto-generated interaction
Supplement 959,Medication 41,severe,Additive effect,C,Auto-generated interaction
Supplement 779,Medication 46,low,Additive effect,B,Auto-generated interaction
Supplement 453,Medication 82,severe,Absorption reduction,B,Auto-generated interaction
Supplement 879,Medication 145,severe,Absorption reduction,A,Auto-generated interaction
Supplement 546,Medication 80,severe,Absorption reduction,A,Auto-generated interaction
Supplement 754,Medication 122,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 299,Medication 135,moderate,Additive effect,B,Auto-generated interaction
Supplement 434,Medication 66,severe,Absorption reduction,C,Auto-generated interaction
Supplement 451,Medication 105,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 650,Medication 18,low,Unknown,A,Auto-generated interaction
Supplement 23,Medication 20,severe,Additive effect,B,Auto-generated interaction
Supplement 735,Medication 79,high,Unknown,A,Auto-generated interaction
Supplement 528,Medication 61,low,Unknown,C,Auto-generated interaction
Supplement 922,Medication 11,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 558,Medication 98,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 244,Medication 91,high,Unknown,A,Auto-generated interaction
Supplement 644,Medication 72,severe,Additive effect,B,Auto-generated interaction
Supplement 88,Medication 95,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 179,Medication 89,severe,Absorption reduction,B,Auto-generated interaction
Supplement 150,Medication 94,severe,Additive effect,B,Auto-generated interaction
Supplement 810,Medication 124,high,Additive effect,C,Auto-generated interaction
Supplement 613,Medication 43,high,Additive effect,C,Auto-generated interaction
Supplement 105,Medication 42,severe,Unknown,C,Auto-generated interaction
Supplement 93,Medication 134,high,Unknown,B,Auto-generated interaction
Supplement 382,Medication 24,high,Additive effect,B,Auto-generated interaction
Supplement 748,Medication 109,severe,Unknown,B,Auto-generated interaction
Supplement 350,Medication 51,low,Absorption reduction,B,Auto-generated interaction
Supplement 144,Medication 91,high,Additive effect,C,Auto-generated interaction
Supplement 287,Medication 87,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 381,Medication 103,low,Unknown,C,Auto-generated interaction
Supplement 898,Medication 129,low,Absorption reduction,B,Auto-generated interaction
Supplement 966,Medication 19,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 548,Medication 146,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 576,Medication 40,moderate,Additive effect,C,Auto-generated interaction
Supplement 33,Medication 126,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 756,Medication 51,moderate,Additive effect,B,Auto-generated interaction
Supplement 564,Medication 97,severe,Absorption reduction,A,Auto-generated interaction
Supplement 165,Medication 101,moderate,Additive effect,A,Auto-generated interaction
Supplement 105,Medication 109,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 439,Medication 68,high,Unknown,C,Auto-generated interaction
Supplement 93,Medication 55,severe,Additive effect,A,Auto-generated interaction
Supplement 401,Medication 116,severe,Unknown,A,Auto-generated interaction
Supplement 872,Medication 145,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 514,Medication 138,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 128,Medication 105,low,Additive effect,A,Auto-generated interaction
Supplement 672,Medication 49,severe,Unknown,B,Auto-generated interaction
Supplement 735,Medication 131,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 138,Medication 139,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 170,Medication 78,low,Absorption reduction,A,Auto-generated interaction
Supplement 136,Medication 31,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 610,Medication 137,low,Unknown,A,Auto-generated interaction
Supplement 228,Medication 61,high,Additive effect,C,Auto-generated interaction
Supplement 957,Medication 76,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 937,Medication 119,severe,Unknown,B,Auto-generated interaction
Supplement 696,Medication 129,low,Absorption reduction,A,Auto-generated interaction
Supplement 978,Medication 39,high,Additive effect,B,Auto-generated interaction
Supplement 107,Medication 112,high,Absorption reduction,A,Auto-generated interaction
Supplement 597,Medication 99,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 176,Medication 10,high,Additive effect,A,Auto-generated interaction
Supplement 679,Medication 51,low,Additive effect,A,Auto-generated interaction
Supplement 292,Medication 20,low,Additive effect,C,Auto-generated interaction
Supplement 59,Medication 74,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 470,Medication 38,moderate,Additive effect,B,Auto-generated interaction
Supplement 923,Medication 90,high,Additive effect,B,Auto-generated interaction
Supplement 672,Medication 102,severe,Unknown,A,Auto-generated interaction
Supplement 45,Medication 39,low,Absorption reduction,A,Auto-generated interaction
Supplement 461,Medication 130,high,Unknown,A,Auto-generated interaction
Supplement 682,Medication 10,severe,Absorption reduction,A,Auto-generated interaction
Supplement 703,Medication 107,high,Unknown,B,Auto-generated interaction
Supplement 265,Medication 35,severe,Unknown,B,Auto-generated interaction
Supplement 637,Medication 107,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 777,Medication 53,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 991,Medication 12,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 88,Medication 22,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 836,Medication 138,severe,Absorption reduction,C,Auto-generated interaction
Supplement 800,Medication 87,moderate,Additive effect,C,Auto-generated interaction
Supplement 645,Medication 126,severe,Absorption reduction,C,Auto-generated interaction
Supplement 431,Medication 83,severe,Unknown,B,Auto-generated interaction
Supplement 369,Medication 15,moderate,Unknown,B,Auto-generated interaction
Supplement 851,Medication 47,severe,Unknown,A,Auto-generated interaction
Supplement 247,Medication 115,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 355,Medication 10,high,Absorption reduction,A,Auto-generated interaction
Supplement 886,Medication 131,severe,Unknown,C,Auto-generated interaction
Supplement 261,Medication 2,moderate,Unknown,A,Auto-generated interaction
Supplement 999,Medication 16,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 479,Medication 139,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 843,Medication 100,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 960,Medication 79,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 767,Medication 133,low,Absorption reduction,B,Auto-generated interaction
Supplement 573,Medication 124,low,Unknown,C,Auto-generated interaction
Supplement 821,Medication 46,low,Absorption reduction,B,Auto-generated interaction
Supplement 286,Medication 94,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 66,Medication 100,severe,Unknown,B,Auto-generated interaction
Supplement 577,Medication 133,low,Absorption reduction,A,Auto-generated interaction
Supplement 797,Medication 14,severe,Absorption reduction,A,Auto-generated interaction
Supplement 912,Medication 90,high,Absorption reduction,A,Auto-generated interaction
Supplement 183,Medication 99,moderate,Additive effect,B,Auto-generated interaction
Supplement 904,Medication 137,high,Unknown,C,Auto-generated interaction
Supplement 253,Medication 37,severe,Additive effect,A,Auto-generated interaction
Supplement 142,Medication 23,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 11,Medication 1,severe,Unknown,C,Auto-generated interaction
Supplement 53,Medication 147,low,Unknown,C,Auto-generated interaction
Supplement 535,Medication 106,severe,Additive effect,A,Auto-generated interaction
Supplement 851,Medication 123,low,Additive effect,C,Auto-generated interaction
Supplement 952,Medication 43,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 182,Medication 149,high,Unknown,C,Auto-generated interaction
Supplement 975,Medication 41,high,Absorption reduction,B,Auto-generated interaction
Supplement 48,Medication 110,low,Additive effect,B,Auto-generated interaction
Supplement 395,Medication 16,low,Absorption reduction,B,Auto-generated interaction
Supplement 785,Medication 86,moderate,Unknown,B,Auto-generated interaction
Supplement 948,Medication 71,severe,Unknown,C,Auto-generated interaction
Supplement 80,Medication 1,severe,Absorption reduction,A,Auto-generated interaction
Supplement 50,Medication 19,moderate,Unknown,A,Auto-generated interaction
Supplement 134,Medication 40,severe,Unknown,A,Auto-generated interaction
Supplement 516,Medication 39,high,Additive effect,B,Auto-generated interaction
Supplement 311,Medication 115,severe,Additive effect,B,Auto-generated interaction
Supplement 369,Medication 46,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 987,Medication 12,high,Absorption reduction,C,Auto-generated interaction
Supplement 750,Medication 19,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 30,Medication 29,severe,Additive effect,A,Auto-generated interaction
Supplement 35,Medication 20,moderate,Unknown,C,Auto-generated interaction
Supplement 792,Medication 17,high,Additive effect,C,Auto-generated interaction
Supplement 302,Medication 120,high,Unknown,B,Auto-generated interaction
Supplement 886,Medication 104,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 851,Medication 14,moderate,Additive effect,B,Auto-generated interaction
Supplement 254,Medication 121,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 501,Medication 138,high,Additive effect,B,Auto-generated interaction
Supplement 348,Medication 13,moderate,Unknown,B,Auto-generated interaction
Supplement 430,Medication 8,high,Additive effect,B,Auto-generated interaction
Supplement 934,Medication 5,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 700,Medication 107,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 58,Medication 143,moderate,Additive effect,C,Auto-generated interaction
Supplement 577,Medication 99,severe,Unknown,A,Auto-generated interaction
Supplement 390,Medication 58,high,Additive effect,C,Auto-generated interaction
Supplement 553,Medication 71,severe,Unknown,B,Auto-generated interaction
Supplement 114,Medication 18,low,Absorption reduction,A,Auto-generated interaction
Supplement 905,Medication 15,low,Absorption reduction,A,Auto-generated interaction
Supplement 610,Medication 70,low,Absorption reduction,C,Auto-generated interaction
